x,y,height,momentum_x,momentum_y,bathymetry
0.5,0.5,4.8818035,0.5711676,0,0
1.5,0.5,4.874761,0.61900747,0,0
2.5,0.5,4.8674173,0.66877544,0,0
3.5,0.5,4.8597817,0.7204092,0,0
4.5,0.5,4.851867,0.77377415,0,0
5.5,0.5,4.843703,0.8286865,0,0
6.5,0.5,4.835322,0.8849027,0,0
7.5,0.5,4.8267694,0.9421177,0,0
8.5,0.5,4.8180966,0.99997264,0,0
9.5,0.5,4.809364,1.0580655,0,0
10.5,0.5,4.800636,1.1159585,0,0
11.5,0.5,4.7919817,1.1731962,0,0
12.5,0.5,4.783472,1.229319,0,0
13.5,0.5,4.7751765,1.283881,0,0
14.5,0.5,4.767161,1.336455,0,0
15.5,0.5,4.7594857,1.3866581,0,0
16.5,0.5,4.7522063,1.4341531,0,0
17.5,0.5,4.745368,1.4786552,0,0
18.5,0.5,4.739008,1.5199459,0,0
19.5,0.5,4.7331524,1.5578772,0,0
20.5,0.5,4.7278166,1.5923682,0,0
21.5,0.5,4.7230043,1.6234074,0,0
22.5,0.5,4.718712,1.6510434,0,0
23.5,0.5,4.714924,1.6753817,0,0
24.5,0.5,4.711618,1.6965787,0,0
25.5,0.5,4.708766,1.7148346,0,0
26.5,0.5,4.7063336,1.7303766,0,0
27.5,0.5,4.7042828,1.7434537,0,0
28.5,0.5,4.7025743,1.7543231,0,0
29.5,0.5,4.701168,1.7632489,0,0
30.5,0.5,4.7000246,1.7704849,0,0
31.5,0.5,4.699107,1.7762747,0,0
32.5,0.5,4.6983814,1.780847,0,0
33.5,0.5,4.697813,1.7844063,0,0
34.5,0.5,4.697376,1.7871325,0,0
35.5,0.5,4.6970434,1.7891845,0,0
36.5,0.5,4.6967955,1.7907012,0,0
37.5,0.5,4.6966147,1.7917993,0,0
38.5,0.5,4.696485,1.7925745,0,0
39.5,0.5,4.6963964,1.7931039,0,0
40.5,0.5,4.6963367,1.7934476,0,0
41.5,0.5,4.696299,1.7936547,0,0
42.5,0.5,4.69628,1.7937642,0,0
43.5,0.5,4.6962724,1.7938044,0,0
44.5,0.5,4.696274,1.7937973,0,0
45.5,0.5,4.696283,1.7937614,0,0
46.5,0.5,4.6962957,1.7937033,0,0
47.5,0.5,4.6963134,1.7936387,0,0
48.5,0.5,4.6963344,1.7935704,0,0
49.5,0.5,4.696358,1.7935059,0,0
50.5,0.5,4.696384,1.7934511,0,0
51.5,0.5,4.696411,1.7934005,0,0
52.5,0.5,4.6964407,1.7933598,0,0
53.5,0.5,4.6964717,1.7933291,0,0
54.5,0.5,4.696504,1.79331,0,0
55.5,0.5,4.696539,1.793305,0,0
56.5,0.5,4.696575,1.793315,0,0
57.5,0.5,4.6966133,1.7933388,0,0
58.5,0.5,4.696654,1.79338,0,0
